BV 号,视频标题,用户名,评论内容,图片 URL,本地文件,文件大小,评论时间,回复 ID
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,鲍比烤迪克,有没有大佬帮忙翻译翻译是因为啥[笑哭],https://i0.hdslb.com/bfs/new_dyn/e307257281cc97cb9a43ce67b209e23a603268895.jpg,bili_BV15QAUzXEtP_1.jpg,1045.2 KB,2026-03-01 14:42:09,291716466401
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,队友脚下火,之前可以正常玩，昨天突然出现这样的报错,https://i0.hdslb.com/bfs/new_dyn/3da0984bb0a1744a77510231bbe215e4518548367.jpg,bili_BV15QAUzXEtP_2.jpg,6838.6 KB,2026-03-10 13:44:31,292643696577
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,參悟自由的意義,嘗試，還是這樣,https://i0.hdslb.com/bfs/new_dyn/d63b678c314176e678d6fb6c8a18156814110469.jpg,bili_BV15QAUzXEtP_3.jpg,2292.4 KB,2026-02-28 00:02:46,291534822929
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,起语风,有没有大佬知道这个怎么解决,https://i0.hdslb.com/bfs/new_dyn/8dbd37793a7a714ab1a3d3abcd7798d9358323258.png,bili_BV15QAUzXEtP_4.png,4.6 KB,2026-03-09 20:49:06,292588146929
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,赤瞳的夜刃,这又是什么问题报错，在线等很急,https://i0.hdslb.com/bfs/new_dyn/54bfa81769c32f2591c9a86177e4067a302272043.jpg,bili_BV15QAUzXEtP_5.jpg,1399.6 KB,2026-03-12 21:41:45,295270677888
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,阿拉斯苒,这个是什么情况,https://i0.hdslb.com/bfs/new_dyn/73c2c27e1c9737325ca53a19af83d0e314681573.jpg,bili_BV15QAUzXEtP_6.jpg,1045.4 KB,2026-03-01 23:22:17,294084088336
BV15QAUzXEtP,【生化危机9】Crash崩溃报错，D3D报错，D加密报错，着色器闪退，黑屏，进不去，卡顿，掉帧,Mad-Monk,按照up的指南从头到尾试了一遍，依然如此，游戏时长50分钟，满满的解密环节，可能跟我用的是网吧的电脑有关吧，退款了[笑哭],https://i0.hdslb.com/bfs/new_dyn/e73288fb9697e7f6e8d863b8fc33931b554905270.png,bili_BV15QAUzXEtP_7.png,6.2 KB,2026-02-27 22:53:00,291526416769
